"","t2_BS_C.mzML","t0_BS_C.mzML","t1_BS_C.mzML","t5_BS_C.mzML","t3_BS_3.mzML","t2_BS_2.mzML","t3_BS_C.mzML","t2_BS_1.mzML","t3_BS_2.mzML","t1_BS_1.mzML","t2_BS_3.mzML","t1_BS_3.mzML","t1_BS_2.mzML","t3_BS_1.mzML","t4_BS_C.mzML","t6_BS_C.mzML","t4_BS_2.mzML","t0_BS_3.mzML","t0_BS_2.mzML","t7_BS_C.mzML","t8_BS_C.mzML","t7_BS_2.mzML","t9_BS_C.mzML","t8_BS_1.mzML","t7_BS_3.mzML","t7_BS_1.mzML","t8_BS_2.mzML","t6_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t5_BS_3.mzML","t6_BS_2.mzML","t5_BS_1.mzML","t6_BS_3.mzML","t0_BS_1.mzML","t9_BS_1.mzML","t5_BS_2.mzML","t8_BS_3.mzML","t9_BS_3.mzML","t9_BS_2.mzML"
"46_284.049_0.292",0.000142782859070327,4.30178419612367e-05,0.000109407871778209,0.000157439040603513,2.99867692805119e-05,9.870469988141e-05,5.54122625675958e-05,6.87928538316843e-05,1.13677410449996e-05,3.57384830784415e-05,2.9753652790644e-05,0.000102295486943121,2.54512595598696e-05,4.38983023125588e-05,2.48800410254642e-05,0.000151537892758239,4.18887714492246e-05,4.37717721936171e-06,5.1557973553135e-05,3.17848682768275e-05,7.45833944588379e-05,1.88134709761918e-05,8.20406519462801e-05,5.31824717993509e-05,4.74778189998671e-05,5.46568094106573e-05,2.19739991971427e-05,4.49500314037487e-05,7.50202221890393e-05,4.52798271060719e-05,0.000109514033315004,4.37677554399265e-05,2.52808551454286e-05,2.68799838549031e-06,4.23362780061589e-05,6.27621012309244e-05,3.66465697157563e-05,6.09475659492675e-05,3.44937465688641e-05,0.000102743171396529
"95_245.095_0.52",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,4.94624609589862e-05,5.28236676429564e-05,4.37837407351276e-05,5.88392458837516e-05,3.15708502751849e-05,4.97280200607447e-05,6.17234613493319e-05,3.97258808832035e-05,3.16371489138169e-05,4.43028194931307e-05,4.18153505464051e-05,7.60451756236156e-05,7.75694438751172e-05,4.68471912176208e-05,0.000124502564517312,8.49480933049672e-05,3.98979005041102e-05,5.68016825089947e-05,3.1591057091503e-05,4.20062485425772e-05,2.18298708055626e-05,2.43810586483813e-05,2.5618160680872e-05,2.83238712138033e-05,5.99656349255222e-05,4.59842922633871e-05,2.84445243230619e-05,1.53570271998184e-05,4.82747646804991e-05,1.28784522995845e-05,5.28051822609802e-05,0.000207966168078566,3.11508127818063e-05,3.54588575114022e-05,2.683680232615e-05,2.82411795386055e-05,3.31818069380333e-05
"99_157.097_0.52",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,5.66303459036931e-06,6.69094701152066e-06,3.84459141943455e-06,4.73509618672262e-06,2.95672292611229e-06,5.55467401963552e-06,5.72584118082063e-06,3.17142462182974e-06,3.01514914187577e-06,3.51026218962991e-06,3.14370693254422e-06,9.79536265976628e-06,1.37030107976609e-05,6.49510092210269e-06,5.49158457216493e-06,4.37537449381179e-06,8.60453102920915e-06,2.46025615908682e-05,8.08747978130556e-06,1.91862659488133e-05,8.78409158177353e-06,5.46568995021384e-06,5.85906962489772e-06,1.12670634481006e-05,1.43862903788789e-05,7.04016477471205e-06,3.03699776824265e-06,2.93108135972365e-06,1.09065878225701e-05,3.12583209446197e-06,1.20237850754747e-05,1.06048301641609e-05,1.3679791333104e-05,5.44783951217421e-06,9.49306395853587e-06,1.20912180459042e-05,2.01176211130364e-05
"106_166.103_0.532",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,4.30555991636603e-06,2.92151586187969e-06,3.00639419017203e-06,4.29452532642899e-06,2.95672292611229e-06,2.73750973233777e-06,3.11766286978731e-06,2.97189937835549e-06,3.01514914187577e-06,2.97042559248229e-06,3.01604194536981e-06,4.22240052733224e-06,4.11287667747037e-06,3.08687867207116e-06,4.37717721936171e-06,4.37537449381179e-06,5.04895147607392e-06,4.94111016114811e-06,3.51046234868182e-06,6.02277084180191e-06,3.49694267778686e-06,3.44077077008186e-06,3.66504879422454e-06,3.29074651830099e-06,2.94402522197156e-06,2.9737141352116e-06,3.03699776824265e-06,2.93108135972365e-06,2.86527218689725e-06,3.12583209446197e-06,2.68799838549031e-06,4.51947486525188e-06,3.40775375743023e-06,2.95365149068321e-06,3.31982859035243e-06,6.45576526886962e-06,7.61094321936901e-06
"107_160.076_0.522",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,0.000404775565602063,0.000331753889579613,0.000249334831165483,0.0003575483121283,0.000164299463767899,0.000431534971850132,0.000332479762585492,0.000221561080333855,0.000168581664165128,0.000226296313088695,0.000237147357842982,0.000636151000637984,0.000846440067611993,0.000428948906180642,0.000273953679307836,0.000291290731196942,0.000714924356444251,0.00113621444810347,0.000652834978250004,0.000901464498207675,0.000535091285876193,0.000589396678107614,0.000534691593995936,0.000668853352360251,0.000661338649509061,0.00035804468892095,0.000222488182382044,0.000188394250388019,0.00072590046490698,0.00017689333656724,0.000581248288501934,0.000485345109700575,0.000842784684318952,0.000335077267863483,0.000587834714193685,0.000870545952070323,0.000846187838499885
"111_169.097_0.525",1.85627871611954e-05,2.89879546777849e-05,2.07135730427848e-05,0.000728788156267341,0.000548102829138149,0.000486739641965542,0.000702057049587813,0.000368020696049172,0.000513217144878992,0.000550654513881143,0.00043830919093123,0.000360314501710267,0.000457751496655795,0.00046990726361099,0.000870760456406573,0.000949136326664921,0.00060049052447141,0.000800974150125109,0.000688322738759293,0.00100029108046528,0.00123901735452052,0.000704399438208682,0.0011199585610663,0.0006167145893279,0.000631096197692278,0.000629926222752034,0.000709665564668406,0.000673856807354384,0.000570663638760954,0.000417615514790725,0.000339443037464923,0.000679718827969419,0.000314212891806141,0.000632824839233217,0.000961125781711538,0.000806221459126046,0.000538904773021624,0.000708928362248792,0.000817293604353634,0.000870783428724087
"113_167.082_0.539",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,0.00011144410908297,7.41131090270038e-05,7.29093060625724e-05,0.000107158453301234,5.02860529832907e-05,6.95308834268298e-05,6.48690441070498e-05,7.08409547816119e-05,7.12148155882015e-05,7.27322903786275e-05,7.04220807385461e-05,0.000107114262448047,0.000107659690858902,7.44566938957115e-05,0.000106789774110593,0.000105524812670724,0.000147392689048809,0.000139154918902952,8.94274436842378e-05,0.00013938156000932,8.97756146753983e-05,0.000162529137981601,8.88059618888757e-05,8.94083945285617e-05,6.80439979207614e-05,7.54388004851295e-05,7.47717963147495e-05,7.75791235998696e-05,6.81016995606598e-05,8.36286994383618e-05,6.83703266963744e-05,9.49548749620037e-05,9.29749962992034e-05,7.98738890700482e-05,9.45851605564567e-05,9.95953453371892e-05,0.000104868961149702
"118_166.086_0.529",1.85627871611954e-05,3.91526483034521e-05,2.07135730427848e-05,0.000332367240435334,0.000294046459964981,0.000296438370311473,0.000447589911854907,0.000305794224506649,0.00038381827273447,0.000245474641548804,0.000284448649204893,0.000229964864614221,0.000224151501751304,0.000277870306966416,0.00043340804425438,0.000471206449083968,0.000413918429992889,0.000367061178488349,0.000336407998974525,0.000867324918935882,0.00108516639054601,0.000737008333630614,0.00152760854853963,0.000570506976767429,0.000491135820722432,0.000499481900381591,0.000665739551187132,0.000298159969236498,0.000355006968076285,0.000239667106221092,0.000232983049275979,0.000291741451058349,0.000207552528626903,0.000382905270087504,0.000473108073468967,0.0010526606553988,0.000276656441317642,0.000908624073849137,0.00116614308595687,0.00133249627014135
"121_318.184_0.527",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,4.69474377590664e-05,5.80837382608404e-05,4.75844791933171e-05,6.46719536392269e-05,3.10224637493425e-05,5.59543282093973e-05,7.92793603854018e-05,4.3435489967366e-05,3.70631563867455e-05,5.20644697902039e-05,4.67150668545233e-05,7.79527341964215e-05,7.48415669516567e-05,4.76899886031236e-05,0.000173610494647272,0.000113817153463505,4.78304896944657e-05,6.08037167091867e-05,3.53544964443626e-05,3.85517307135741e-05,2.36168493703848e-05,2.6618340811709e-05,2.82731362360414e-05,2.9439814388323e-05,5.94305243358269e-05,4.57841982563682e-05,2.821617934774e-05,1.43751273971261e-05,5.12860059753861e-05,1.2861701790424e-05,4.88919426783289e-05,0.000268343448101705,2.9561431362049e-05,3.26611793679319e-05,2.72606763832965e-05,2.61925883649592e-05,2.43706485861548e-05
"125_228.121_0.536",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,0.000130507301445016,2.92151586187969e-06,3.00639419017203e-06,4.29452532642899e-06,2.95672292611229e-06,2.73750973233777e-06,3.11766286978731e-06,2.97189937835549e-06,3.01514914187577e-06,2.97042559248229e-06,3.01604194536981e-06,4.22240052733224e-06,8.2152444417393e-06,3.08687867207116e-06,4.37717721936171e-06,4.37537449381179e-06,5.04895147607392e-06,4.94111016114811e-06,3.51046234868182e-06,4.73023579490092e-06,3.49694267778686e-06,3.44077077008186e-06,2.50497180359685e-05,3.29074651830099e-06,2.94402522197156e-06,2.9737141352116e-06,3.03699776824265e-06,2.93108135972365e-06,2.51764984821814e-05,4.71922624963471e-06,2.68799838549031e-06,4.51947486525188e-06,3.40775375743023e-06,2.95365149068321e-06,3.31982859035243e-06,3.12119230845091e-06,2.43439413561742e-06
