"","t2_BS_C.mzML","t0_BS_C.mzML","t1_BS_C.mzML","t5_BS_C.mzML","t3_BS_3.mzML","t2_BS_2.mzML","t3_BS_C.mzML","t2_BS_1.mzML","t3_BS_2.mzML","t1_BS_1.mzML","t2_BS_3.mzML","t1_BS_3.mzML","t1_BS_2.mzML","t3_BS_1.mzML","t4_BS_C.mzML","t6_BS_C.mzML","t4_BS_2.mzML","t0_BS_3.mzML","t0_BS_2.mzML","t7_BS_C.mzML","t8_BS_C.mzML","t7_BS_2.mzML","t9_BS_C.mzML","t8_BS_1.mzML","t7_BS_3.mzML","t7_BS_1.mzML","t8_BS_2.mzML","t6_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t5_BS_3.mzML","t6_BS_2.mzML","t5_BS_1.mzML","t6_BS_3.mzML","t0_BS_1.mzML","t9_BS_1.mzML","t5_BS_2.mzML","t8_BS_3.mzML","t9_BS_3.mzML","t9_BS_2.mzML"
"46_284.049_0.292",28967.646,6016.6436,19891.79,137709.25,38654.65,123643.766,48592.7,87621.97,15638.634,43170.52,37703.92,127769.734,32267.916,54813.895,22190.75,138757.31,51104.41,3766,44377.305,23708.252,56845.74,20182.963,65317.06,57274.37,51965.527,56162.293,25147.51,57500.125,95007.84,56148.816,140709.11,57526.6,30458.354,3766,35278.086,69360.08,46725.547,69138.67,41619.816,158943.36
"95_245.095_0.52",3766,3766,3766,43263.973,68092.71,54846.29,51597.926,40212.027,68410.98,74559.234,50340.758,39515.625,56168.523,52213.004,67825.43,71027.3,57153.695,107118.5,73117.06,29759.742,43292.93,33890.67,33443.477,23509.477,26685.61,26323.795,32414.438,76708.1,58235.875,35272.36,19731.477,63450.434,15515.949,73982.305,173294.6,34425.598,45211.176,30443.559,34075.53,51332.15
"99_157.097_0.52",3766,3766,3766,4953.36,8625.011,4815.979,4152.35,3766,7641.581,6916.565,4018.839,3766,4450.422,3925.4097,8736.579,12547.31,7924.04,4724.8047,3766,6418.0977,18751.504,8676.193,15275.238,9459.946,5982.319,6020.4536,12894.266,18402.957,8915.874,3766,3766,14335.186,3766,16845.834,8836.821,15117.904,6946.1694,10768.893,14589.145,31121.896
"106_166.103_0.532",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4795.058,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7789.463,11774.105
"107_160.076_0.522",3766,3766,3766,354050.3,427649.62,312332.62,313545,209269.45,593663.9,401620.97,280762.88,210562.9,286905.66,296115.56,567389.25,775052,523318.78,235702.03,250721.6,533260.25,865996.4,700356.9,717705.3,576261.6,645107.75,549419.3,765449.94,845985.06,453438.44,275894.34,242058.36,954094.75,213120.95,814353.56,404429.66,931383.94,427234.22,666837.3,1050392.2,1309049.9
"111_169.097_0.525",3766,4054.3687,3766,637458.6,706535.7,609720.94,615655.2,468750.7,706034.3,665166.5,555426.75,450042.22,580351.9,586752.7,776639.7,869086.94,732600,689135.6,592457.5,746114.56,944350.4,755674.9,891660.4,664165.06,690748.8,647277.1,812156.3,861998.3,722705.4,517860.12,436133.4,893395.44,378563.44,886614.5,800889.44,890976.94,687120.8,804205.44,986138.44,1347099.2
"113_167.082_0.539",3766,3766,3766,97478.266,95536.01,91330.82,93970.51,64049.72,95653.836,78358.96,89769.875,88949.164,92212.31,87932.98,95536.25,98579.76,90837.36,91878.914,90827.984,109939.83,106060.664,95937.15,110969.3,96683.016,177891.75,91252.06,102320.86,87041.95,95537.94,92720.05,99677.54,89510.17,100755.79,95789.734,79124.25,102749.16,101841.76,107297.02,120170.766,162231.95
"118_166.086_0.529",3766,5476.0425,3766,290715.97,379042.6,371337.5,392505.22,389492.38,528019.9,296522.6,360454.2,287232.12,284186.4,346964.53,386560.84,431465.28,504981.56,315809.1,289555.22,646935.44,827088.75,790657.5,1216212.9,614402.2,537559.06,513239.78,761886.44,381406.53,449591.38,297196.9,299348.28,383453.38,250059.12,536466.56,394232.75,1163323.5,352745.8,1030739.44,1407056.8,2061367.5
"121_318.184_0.527",3766,3766,3766,41064.125,74873.24,59607.336,56712.805,39513.543,76976.53,95765.99,55041.586,46292.85,66008.99,58331.066,69526.8,68529.49,58181.91,149369.58,97965.42,35676.64,46343.188,37928.062,30693.146,25433.947,29134.365,29051.9,33691.547,76023.586,57982.47,34989.203,18469.883,67408.29,15495.768,68499.69,223605.94,32669.13,41644.047,30924.4,31603.72,37701.316
"125_228.121_0.536",3766,3766,3766,114152.516,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7522.3774,3766,3766,3766,3766,3766,3766,3766,3766,3766,25739.695,3766,3766,3766,3766,3766,33090.99,5685.72,3766,3766,3766,3766,3766,3766,3766
"126_176.093_0.53",3766,3766,3766,15067.458,8017.8896,16475.09,15611.735,10358.572,18514.387,16995.629,14024.732,12500.33,14891.554,16165.344,20754.479,22409.873,15473.155,14249.701,11205.268,15398.476,7814.5835,17231.451,20140.395,15595.077,16144.081,13510.308,18807.854,24531.71,8942.622,13238.398,10602.114,22973.979,7942.071,23013.49,16624.148,21349.45,14500.333,18072.086,19574.107,27866.867
"128_235.108_0.552",3766,3766,3766,72133.695,70549.87,67185.516,70654.75,69459.164,68756.766,64738.87,68000.18,67258.06,68514.29,66167.99,72834.96,53991.457,70623.81,62106.113,56992.246,75167.984,72120.4,69137.84,74937.24,70074.92,72640.59,64117.02,73565.48,67488.67,72585.37,70586.21,77003.15,50947.348,81456.18,73007.99,45249.484,71028.07,77916.04,75497.32,79178.766,101051.484
